"Dấu thời gian","Bạn thường xuyên truy cập Vlearn với tần suất ntn","Khi học qua slide/tài liệu, bạn thường lưu giữ thông tin quan trọng bằng cách nào? ","Bạn thường làm gì với những phần nội dung đã được highlight hoặc ghi chú? ","Bạn cảm thấy phương pháp ""chỉ đọc lại"" các highlight/ghi chú mang lại hiệu quả như thế nào khi làm bài thi/kiểm tra?  ","Trở ngại lớn nhất của bạn khi ôn tập lại các ghi chú/highlight là gì? ","  Bạn đánh giá mức độ hữu ích của tính năng này như thế nào?  ","  Bạn thích bài Quiz tự động này xuất hiện dưới hình thức nào nhất?  "," Bạn muốn hệ thống nhắc bạn làm bài Quiz này vào thời điểm nào để đạt hiệu quả cao nhất?  ","URL để chúng mình chéo lại"
"2026/07/30 5:48:03 CH GMT+7","3-4 lần 1 tuần","Tôi chỉ đọc, hiếm khi ghi chú hay highlight.","Chỉ xem lướt qua một lần trước khi thi.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Mất quá nhiều thời gian để tự tổng hợp lại.","4","Trắc nghiệm nhiều lựa chọn (Multiple choice).","Ngay lập tức sau khi học xong một bài.",""
"2026/07/31 8:57:45 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Tôi không biết mình đã thực sự nhớ chưa cho đến khi bước vào phòng thi.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 8:58:46 SA GMT+7","Hàng ngày","Tôi chỉ đọc, hiếm khi ghi chú hay highlight.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Tôi không biết mình đã thực sự nhớ chưa cho đến khi bước vào phòng thi.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 8:59:24 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Tôi không biết mình đã thực sự nhớ chưa cho đến khi bước vào phòng thi.","5","Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 8:59:52 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Đọc đi đọc lại nhiều lần để thuộc.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","4","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:00:14 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Gần như không bao giờ xem lại.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:00:49 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Mất quá nhiều thời gian để tự tổng hợp lại.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:02:29 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Mất quá nhiều thời gian để tự tổng hợp lại.","3","Trắc nghiệm nhiều lựa chọn (Multiple choice).","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:04:26 SA GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Gần như không bao giờ xem lại.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Mất quá nhiều thời gian để tự tổng hợp lại.","2","Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:04:38 SA GMT+7","1-2 lần 1 tuần","Bôi đen (Highlight) trực tiếp trên slide.","Chỉ xem lướt qua một lần trước khi thi.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","4","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:04:52 SA GMT+7","Ít khi sử dụng","Ghi chép ra vở hoặc ứng dụng khác (Notion, Word).","Gần như không bao giờ xem lại.","Rất hiệu quả, tôi nhớ được hầu hết.","Mất quá nhiều thời gian để tự tổng hợp lại.","4","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/31 9:06:11 SA GMT+7","1-2 lần 1 tuần","Ghi chép ra vở hoặc ứng dụng khác (Notion, Word).","Đọc đi đọc lại nhiều lần để thuộc.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","3","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.","Ngay lập tức sau khi học xong một bài.",""
